Date,IBGE6,TotalVaccinations,PeopleVaccinated,PeopleFullyVaccinated
2022-06-09,140040,10897,5921,4196
2022-06-09,140047,28472,14857,11066
2022-06-09,140050,8301,4313,3203
2022-06-09,140060,7201,3787,2915
2022-06-09,150013,10237,5192,4045
2022-06-09,150030,57700,28181,21531
2022-06-09,150034,19115,9773,7839
2022-06-09,150050,70177,32991,26967
2022-06-09,150070,49145,23308,18521
2022-06-09,150085,21854,11396,8498
2022-06-09,150090,79866,39103,30018
2022-06-09,150100,18741,9330,7101
2022-06-09,150110,35637,17593,13136
2022-06-09,150145,33521,15511,12711
2022-06-09,150178,57863,29737,22521
2022-06-09,150190,51770,23657,19963
2022-06-09,150195,26086,13407,9659
2022-06-09,150260,23746,11475,9595
2022-06-09,150270,70083,33722,28353
2022-06-09,150276,7237,3925,2805
2022-06-09,150277,22825,11427,8871
2022-06-09,150280,57133,26999,22256
2022-06-09,150285,28558,13184,11226
2022-06-09,150295,24142,13554,9290
2022-06-09,150300,19467,8313,7331
2022-06-09,150309,36675,18552,14418
2022-06-09,150310,44958,22136,16596
2022-06-09,150370,56984,29602,21608
2022-06-09,150375,14054,7860,5140
2022-06-09,150380,62359,31917,23782
2022-06-09,150390,96289,44905,37416
2022-06-09,150400,50129,22285,19216
2022-06-09,150410,20275,8125,7464
2022-06-09,150450,30188,15550,11092
2022-06-09,150460,48389,23317,18430
2022-06-09,150475,32410,15052,12518
2022-06-09,150480,114714,54673,43949
2022-06-09,150497,20802,10753,7972
2022-06-09,150503,33501,18828,13403
2022-06-09,150506,55772,31009,20306
2022-06-09,150510,106142,47231,40223
2022-06-09,150520,56504,27788,21512
2022-06-09,150530,127494,58200,47404
2022-06-09,150563,11181,5947,4347
2022-06-09,150570,48542,21421,18069
2022-06-09,150590,41246,21180,15426
2022-06-09,150600,57029,27222,21708
2022-06-09,150610,23584,10508,8810
2022-06-09,150619,34495,17845,13644
2022-06-09,150650,94389,46182,37494
2022-06-09,150658,18291,9258,7419
2022-06-09,150670,30419,16139,12107
2022-06-09,150700,51065,24932,20168
2022-06-09,150730,48632,28477,20491
2022-06-09,150745,24485,12730,9551
2022-06-09,150747,37112,17588,13937
2022-06-09,150750,11696,6443,4409
2022-06-09,150770,37770,18860,14776
2022-06-09,150775,8082,4261,3232
2022-06-09,150790,43887,20792,16955
2022-06-09,150797,29466,13478,11118
2022-06-09,150808,43095,22874,17472
2022-06-09,160005,7491,3424,2776
2022-06-09,160010,14862,6676,5467
2022-06-09,160020,14335,6967,5434
2022-06-09,160021,7902,3782,2933
2022-06-09,160040,28340,14270,10289
2022-06-09,160050,26992,13551,9583
2022-06-09,160053,27347,13119,10038
2022-06-09,160070,19679,9265,7334
2022-06-09,160080,20580,10152,7686
2022-06-09,170025,4119,1907,1571
2022-06-09,170030,9042,4504,3640
