IBGE,Municipio,Population,Date,TotalVaccinations,PeopleVaccinated,PeopleFullyVaccinated
3127206,Funilândia,4434,2021-11-12,6146,3261,2699
3127354,Glaucilândia,3177,2021-11-12,3968,2281,1583
3127388,Goianá,4014,2021-11-12,6949,3672,2976
3127503,Gonzaga,6184,2021-11-12,6592,4110,2525
3127602,Gouveia,11811,2021-11-12,16910,9688,6857
3128808,Guidoval,7026,2021-11-12,11244,6171,4826
3129400,Ibertioga,4999,2021-11-12,7882,4430,3037
3129905,Ibitiúra de Minas,3497,2021-11-12,5071,2887,2102
3130200,Igaratinga,11146,2021-11-12,16263,9277,6697
3130309,Iguatama,7901,2021-11-12,13016,7179,5446
3130408,Ijaci,6667,2021-11-12,8890,5486,3322
3130507,Ilicínea,12511,2021-11-12,17302,10308,6868
3130606,Inconfidentes,7387,2021-11-12,13896,7171,6150
3131000,Inhaúma,6352,2021-11-12,9066,5303,3674
3132008,Itacambira,5447,2021-11-12,4935,2900,1895
3132602,Itamarati de Minas,4395,2021-11-12,5683,3659,2080
3132800,Itambé do Mato Dentro,2032,2021-11-12,3455,1873,1430
3132909,Itamogi,10122,2021-11-12,18954,10196,8114
3133907,Itaverava,5321,2021-11-12,9712,5366,4095
3134301,Itumirim,5978,2021-11-12,7644,4789,2752
3134806,Jacuí,7695,2021-11-12,9716,5455,4297
3135407,Jeceaba,4795,2021-11-12,10353,5512,4531
3135506,Jequeri,12246,2021-11-12,14674,8742,5732
3135704,Jequitibá,5203,2021-11-12,9636,5192,3955
3135902,Jesuânia,4774,2021-11-12,8380,4409,3507
3136009,Joaíma,15476,2021-11-12,20150,10571,8778
3136553,José Raydan,5104,2021-11-12,6507,3612,2743
3136801,Juramento,4359,2021-11-12,3192,2132,1070
3137403,Lagoa Dourada,13115,2021-11-12,17914,10168,7273
3137908,Lamim,3366,2021-11-12,6054,3184,2613
3138005,Laranjal,6856,2021-11-12,9906,5028,4467
3138609,Lima Duarte,16749,2021-11-12,28872,14814,13130
3138658,Lontra,9766,2021-11-12,12558,7043,5400
3139706,Maravilhas,8113,2021-11-12,9953,5451,4297
3140308,Marliéria,4030,2021-11-12,6550,3547,2814
3140506,Martinho Campos,13497,2021-11-12,21352,11547,9144
3141306,Medeiros,3861,2021-11-12,6173,3325,2700
3142254,Miravânia,4939,2021-11-12,5711,3322,2318
3142403,Moema,7589,2021-11-12,11413,6623,4509
3142502,Monjolos,2184,2021-11-12,4101,2182,1787
3143153,Monte Formoso,4939,2021-11-12,5908,3324,2474
3143609,Morro da Garça,2413,2021-11-12,4079,2195,1806
3144375,Natalândia,3306,2021-11-12,5043,2858,2033
3145455,Olhos-d'Água,6243,2021-11-12,7504,4422,2988
3145703,Oliveira Fortes,2128,2021-11-12,3158,1618,1359
3145802,Onça de Pitangui,3155,2021-11-12,5527,3193,2121
3146404,Paineiras,4440,2021-11-12,8057,4131,3613
3146503,Pains,8308,2021-11-12,14628,7481,6532
3146701,Palma,6606,2021-11-12,7762,4710,2952
3147501,Passabém,1619,2021-11-12,2997,1541,1324
3147709,Passa Tempo,8031,2021-11-12,13025,7080,5394
3147808,Passa Vinte,2024,2021-11-12,3762,1871,1632
3147956,Patis,6031,2021-11-12,4282,2964,1351
3148756,Pedra Bonita,7157,2021-11-12,7631,4739,2824
3148806,Pedra do Anta,2960,2021-11-12,6350,3385,2552
3148905,Pedra do Indaiá,3977,2021-11-12,7112,3792,3075
3149002,Pedra Dourada,2559,2021-11-12,4022,2239,1656
3149408,Pedro Teixeira,1804,2021-11-12,3544,1973,1524
3149507,Pequeri,3340,2021-11-12,4464,2466,1875
3149903,Perdões,21577,2021-11-12,29958,17019,12187
3149952,Periquito,6738,2021-11-12,8512,5332,3034
3150109,Piau,2719,2021-11-12,4915,2659,2027
3150208,Piedade de Ponte Nova,4141,2021-11-12,6623,3547,2913
3150307,Piedade do Rio Grande,4436,2021-11-12,7814,4204,3325
3150406,Piedade dos Gerais,5034,2021-11-12,9019,4787,3938
3150505,Pimenta,8715,2021-11-12,14467,7753,6124
3150539,Pingo-d'Água,5029,2021-11-12,5436,3326,2146
3150604,Piracema,6386,2021-11-12,12068,6253,5282
3150901,Piranguçu,5504,2021-11-12,9271,4750,4173
3151305,Piraúba,10732,2021-11-12,17574,9990,7223
3152709,Prados,9128,2021-11-12,13346,7081,5805
3153103,Presidente Bernardes,5315,2021-11-12,8798,4795,3577
3153301,Presidente Kubitschek,3000,2021-11-12,4642,2580,1860
3153608,Prudente de Morais,10931,2021-11-12,13497,7924,5565
3153707,Quartel Geral,3603,2021-11-12,5278,2759,2264
3153806,Queluzito,1948,2021-11-12,3358,1738,1423
3153905,Raposos,16501,2021-11-12,22212,12194,9325
3154200,Resende Costa,11578,2021-11-12,18213,10143,7571
3154408,Ressaquinha,4826,2021-11-12,7223,3992,2999
3154804,Rio Acima,10524,2021-11-12,13835,7956,5612
3155108,Rio do Prado,5117,2021-11-12,7588,4084,3203
3155207,Rio Espera,5332,2021-11-12,8619,4556,3546
3155702,Rio Piracicaba,14325,2021-11-12,20625,11191,9099
3155900,Rio Preto,5493,2021-11-12,9347,4993,3987
3156205,Rochedo de Minas,2335,2021-11-12,3798,1959,1635
3156452,Rosário da Limeira,4648,2021-11-12,4867,3303,1633
3157302,Santa Bárbara do Tugúrio,4385,2021-11-12,7685,4018,3564
3157401,Santa Cruz do Escalvado,4693,2021-11-12,8177,4217,3508
3158102,Santa Maria do Salto,5203,2021-11-12,6688,3879,2607
